62

Culture: zh-CN 
Date: 2015/8/5 08:50:01.32652

ENLIGHT Version: 1.5.58

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM130
Mux Level: No Switch
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 60000 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.126
      Port: 1852

IDN: sm130
Image ID: 2.0h
S/N: SIABSU

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Gain (dB): 0.0 dB
	Noise Thresh.: 200

s1_1 (NA, Strain): "(1e6*FBG_A1_N)/Fg-EpsT0", Range (-2039.722, 2062.074), Limits (NA, NA), Constants ( Fg=0.890, CTEs=0.000, C1=6.156, C2=0.700, FBG_A1_0=1543.738, FBG_A2_0=1553.234 ), Description: ""
	EpsT0: (DeltaT)*(C1/Fg+CTEs-C2)
	DeltaT: T1_1
s2_2 (NA, Strain): "(1e6*FBG_A1_N)/Fg-EpsT0", Range (-658.066, 675.557), Limits (NA, NA), Constants ( Fg=0.890, CTEs=10.000, C1=6.156, C2=0.700, FBG_A1_0=1543.740, FBG_A2_0=1553.226 ), Description: ""
	EpsT0: (DeltaT)*(C1/Fg+CTEs-C2)
	DeltaT: T1_1
t1_1_1 (NA, Temperature): "(FBG_A2-1553.226)*1000/28.9+25.5", Range (-112.994, 163.822), Limits (0.000, 35.000), Constants (  ), Description: ""
T1_1 (NA, Temperature): "1e3*(FBG_A2_D/St)", Range (-142.293, 134.523), Limits (NA, NA), Constants ( St=28.900, FBG_A2_0=1553.336 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0.00, Range (1539.751, 1547.751), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0.00, Range (1549.224, 1557.224), Distance = 0 m

Timestamp	s1_1	s2_2	s3_3	s4_4	s5_5	s6_6	s7_7	s8_8	s9_9	s10_10	s11_11	s12_12	s13_13	s14_14	s15_15	s16_16	s17_17	s18_18	s19_19	s20_20	s21_21	s22_22	s23_23	s24_24	s25_25	s26_26	s27_27	s28_28	T1_1	T2_2	T3_3	T4_4	T5_5	T6_6	T7_7	T8_8	T9_9	T10_10	T11_11	T12_12	T13_13	T14_14	T15_15	T16_16	T17_17	T18_18	T19_19	T20_20	FBG_A1	FBG_A2
2015/8/5 08:50:01.000	18.491	16.711	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	18.491	16.711	16.711	16.711	16.711	16.711	16.711	16.711	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.76025	1553.22164
2015/8/5 08:50:01.413	17.889	16.815	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	17.889	16.815	16.815	16.815	16.815	16.815	16.815	16.815	25.279	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	-4.021	1543.75882	1553.2196
2015/8/5 08:50:01.414	17.451	15.672	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	15.672	15.672	15.672	15.672	15.672	15.672	15.672	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.75882	1553.22164
2015/8/5 08:50:01.415	17.451	15.672	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	15.672	15.672	15.672	15.672	15.672	15.672	15.672	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.75882	1553.22164
2015/8/5 08:50:01.416	18.738	17.014	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	18.738	17.014	17.014	17.014	17.014	17.014	17.014	17.014	25.344	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	1543.76054	1553.22148
2015/8/5 08:50:01.417	18.704	16.925	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	16.925	16.925	16.925	16.925	16.925	16.925	16.925	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.76054	1553.22164
2015/8/5 08:50:01.418	17.24	15.461	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	15.461	15.461	15.461	15.461	15.461	15.461	15.461	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.75853	1553.22164
2015/8/5 08:50:01.419	18.704	16.925	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	16.925	16.925	16.925	16.925	16.925	16.925	16.925	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.76054	1553.22164
2015/8/5 08:50:01.420	17.275	15.55	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	17.275	15.55	15.55	15.55	15.55	15.55	15.55	15.55	25.344	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	-3.956	1543.75853	1553.22148
2015/8/5 08:50:01.421	17.24	15.461	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	15.461	15.461	15.461	15.461	15.461	15.461	15.461	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.75853	1553.22164
2015/8/5 08:50:01.422	17.451	15.672	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	17.451	15.672	15.672	15.672	15.672	15.672	15.672	15.672	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.75882	1553.22164
2015/8/5 08:50:01.423	17.24	15.461	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	17.24	15.461	15.461	15.461	15.461	15.461	15.461	15.461	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.75853	1553.22164
2015/8/5 08:50:01.424	18.704	16.925	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	16.925	16.925	16.925	16.925	16.925	16.925	16.925	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.76054	1553.22164
2015/8/5 08:50:01.425	17.643	16.511	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	17.643	16.511	16.511	16.511	16.511	16.511	16.511	16.511	25.284	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	-4.015	1543.75853	1553.21977
2015/8/5 08:50:01.426	18.704	16.925	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	18.704	16.925	16.925	16.925	16.925	16.925	16.925	16.925	25.349	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	-3.95	1543.76054	1553.22164
